track_id,frames_checked,centroid_identity_errors,large_step_jumps,max_step_px_per_frame,median_step_px_per_frame,large_step_threshold_px,passed
1,500,0,0,5.0,0.0,30.0,True
2,500,0,0,3.0,0.0,30.0,True
3,500,0,0,10.44030650891055,0.0,30.0,True
4,500,0,0,6.0,0.0,30.0,True
5,500,0,0,7.615773105863909,0.0,30.0,True
6,500,0,0,0.0,0.0,30.0,True
7,500,0,0,9.219544457292887,0.0,30.0,True
9,500,0,0,8.06225774829855,0.0,30.0,True
11,500,0,0,8.06225774829855,0.0,30.0,True
12,500,0,0,10.770329614269007,2.23606797749979,30.0,True
13,500,0,0,9.219544457292887,3.0,30.0,True
14,500,0,0,7.826237921249264,1.0,30.0,True
15,500,0,0,41.6293165929973,13.0,78.0,True
16,500,0,0,5.385164807134504,1.0,30.0,True
17,500,0,0,9.486832980505138,2.0,30.0,True
18,500,0,0,10.04987562112089,1.0,30.0,True
19,500,0,0,3.1622776601683795,0.0,30.0,True
20,401,0,0,14.212670403551895,0.0,30.0,True
22,99,0,0,9.848857801796104,4.0,30.0,True
23,99,0,0,10.04987562112089,7.0710678118654755,42.42640687119285,True
26,298,0,0,10.770329614269007,1.4142135623730951,30.0,True
28,202,0,0,6.708203932499369,2.0,30.0,True
29,202,0,0,12.649110640673518,3.1622776601683795,30.0,True
30,500,0,0,13.416407864998739,1.0,30.0,True
32,500,0,0,10.735455276791944,0.0,30.0,True
33,500,0,0,29.154759474226502,0.0,30.0,True
35,455,0,17,30.083217912982647,3.1622776601683795,30.0,True
36,500,0,0,7.810249675906654,1.0,30.0,True
37,437,0,0,27.65863337187866,1.4142135623730951,30.0,True
39,63,0,0,18.973665961010276,12.165525060596439,72.99315036357864,True
40,63,0,0,19.0,13.416407864998739,80.49844718999243,True
41,500,0,0,7.0710678118654755,3.0,30.0,True
42,500,0,0,11.661903789690601,3.1622776601683795,30.0,True
43,500,0,0,8.06225774829855,2.0,30.0,True
44,500,0,0,7.0710678118654755,0.0,30.0,True
45,500,0,0,8.0,1.0,30.0,True
46,500,0,0,8.602325267042627,2.0,30.0,True
47,500,0,0,8.54400374531753,2.0,30.0,True
48,437,0,0,9.899494936611665,2.23606797749979,30.0,True
49,94,0,0,2.8284271247461903,0.0,30.0,True
50,253,0,0,2.8284271247461903,0.0,30.0,True
51,500,0,0,9.433981132056603,2.23606797749979,30.0,True
52,500,0,0,9.219544457292887,2.23606797749979,30.0,True
53,500,0,0,6.324555320336759,2.23606797749979,30.0,True
54,500,0,0,5.830951894845301,1.0,30.0,True
55,103,0,0,53.383785293251165,10.16227766016838,60.97366596101028,True
57,99,0,0,7.810249675906654,2.23606797749979,30.0,True
58,99,0,0,6.708203932499369,1.4142135623730951,30.0,True
59,500,0,0,9.219544457292887,2.23606797749979,30.0,True
60,500,0,0,4.123105625617661,1.0,30.0,True
61,500,0,0,16.1245154965971,1.4142135623730951,30.0,True
62,500,0,0,7.810249675906654,3.0,30.0,True
63,500,0,0,4.242640687119285,1.4142135623730951,30.0,True
64,500,0,0,7.810249675906654,2.23606797749979,30.0,True
65,500,0,0,6.082762530298219,2.23606797749979,30.0,True
66,500,0,0,4.47213595499958,2.0,30.0,True
67,264,0,0,8.602325267042627,2.23606797749979,30.0,True
68,247,0,17,33.015148038438355,2.0,30.0,True
70,253,0,0,5.385164807134504,1.4142135623730951,30.0,True
71,253,0,0,13.416407864998739,4.242640687119285,30.0,True
72,500,0,0,4.123105625617661,2.0,30.0,True
73,500,0,0,3.605551275463989,1.0,30.0,True
74,500,0,0,12.083045973594572,1.118033988749895,30.0,True
75,500,0,0,7.810249675906654,1.4142135623730951,30.0,True
77,68,0,0,6.082762530298219,6.0,36.0,True
78,18,0,0,0.0,0.0,30.0,True
79,372,0,0,17.08800749063506,7.0710678118654755,42.42640687119285,True
80,45,0,0,5.0990195135927845,3.605551275463989,30.0,True
81,45,0,0,6.082762530298219,5.0,30.0,True
